date, total, active 
2023-11-22, 656, 257
2023-11-23, 656, 252
2023-11-24, 656, 249
2023-11-25, 657, 250
2023-11-26, 657, 249
2023-11-27, 658, 245
2023-11-28, 661, 247
2023-11-29, 662, 249
2023-11-30, 663, 249
2023-12-01, 671, 257
2023-12-02, 671, 255
2023-12-03, 671, 253
2023-12-04, 672, 253
2023-12-05, 673, 225
2023-12-06, 676, 216
2023-12-07, 678, 163
2023-12-08, 678, 136
2023-12-09, 678, 115
2023-12-10, 679, 104
2023-12-11, 681, 81
2023-12-12, 684, 82
2023-12-13, 686, 84
2023-12-14, 687, 79
2023-12-15, 686, 80
2023-12-16, 686, 81
2023-12-17, 686, 79
2023-12-18, 687, 80
2023-12-19, 690, 81
2023-12-20, 690, 80
2023-12-21, 692, 79
2023-12-22, 692, 76
2023-12-23, 692, 76
2023-12-24, 692, 76
2023-12-25, 693, 73
2023-12-26, 693, 73
2023-12-27, 693, 71
2023-12-28, 692, 66
2023-12-29, 692, 64
2023-12-30, 692, 60
2023-12-31, 692, 41
2024-01-01, 692, 41
2024-01-02, 692, 41
2024-01-03, 693, 41
2024-01-04, 692, 36
2024-01-05, 693, 33
2024-01-06, 694, 32
2024-01-07, 694, 55
